time,open,high,low,close,Volume
1777063440,7194.5,7196.25,7194.5,7195.75,497
1777063500,7195.5,7195.75,7195.25,7195.75,179
1777063560,7195.5,7195.75,7195,7195.25,158
1777063620,7195.25,7195.5,7195,7195,152
1777063680,7195,7195.5,7195,7195.5,144
1777063740,7195.5,7195.5,7194.75,7194.75,190
1777063800,7194.5,7194.75,7194.25,7194.75,187
1777063860,7195,7195.5,7194.75,7195,1240
1777063920,7195,7195,7194.5,7194.75,116
1777063980,7194.5,7195.75,7194.5,7195.5,173
1777064040,7195.5,7197,7195.5,7196.5,400
1777064100,7196.25,7196.5,7195.5,7196,343
1777064160,7196,7196,7195.5,7196,207
1777064220,7195.75,7196.25,7195.25,7196,347
1777064280,7196.25,7196.75,7195.75,7196,187
1777064340,7196,7197,7195.5,7195.5,661
